store_prod_name,parent_tag,,,
50樓Cafe 自助餐廳 - Mega 50餐飲及宴會 - 【50樓Cafe - Mega 50餐飲及宴會】EZTABLE 2020 花賞美食節，預付平日晚餐、假日午餐吃到飽 優惠價 $890 /人 (原價 $989 ) - 1<br>【50樓Cafe - Mega 50餐飲及宴會】EZTABLE 2020 花賞美食節，預付平日晚餐、假日午餐吃到飽 優惠價 $764 /人 (原價 $989 )（年滿70歲(含)以上長者適用） - 2,餐飲,,,
50樓Cafe 自助餐廳 - Mega 50餐飲及宴會 - 【50樓Cafe - Mega 50餐飲及宴會】EZTABLE 獨家方案，平日午餐 $754 /人 (原價 $879 ) - 2,餐飲,,,
50樓Cafe 自助餐廳 - Mega 50餐飲及宴會 - 【50樓Cafe - Mega 50餐飲及宴會】EZTABLE 獨家方案，平日晚餐、假日午餐 $890 /人 (原價 $989 ) - 4,餐飲,,,
50樓Cafe 自助餐廳 - Mega 50餐飲及宴會 - 【50樓Cafe - Mega 50餐飲及宴會】EZTABLE 獨家方案，假日晚餐 $990 /人 (原價 $1099 ) - 1,餐飲,,,
6 星集 八德會館 - 全身按摩 60 min - 1,按摩,,,
6 星集 民權會館 - 全身按摩 60 min - 1,按摩,,,
6 星集 民權會館 - 腳底按摩 60 min - 1,按摩,,,
6 星集 安和會館 - 全身按摩 60 min - 1,按摩,,,
6 星集 安和會館 - 腳底按摩 60 min - 1,按摩,,,
6 星集 南京會館 - 全身按摩 60 min - 1,按摩,,,
6 星集 南京會館 - 腳底按摩 60 min - 1,按摩,,,
77's Bistro & Bar - 現場折抵 300 元 - 2,餐飲,,,
77's Bistro & Bar - 微醺調酒 2 杯 - 1,餐飲,,,
A&A Beauty Salon - 日式輕柔無感美睫 120 根 - 1,美顏/造型,,,
A.T Spa - 極致潤澤臉部保養 120 min - 1,美顏/造型,,,
ABBA 氧生艙 - 全身律動舒壓 SPA + 氧生艙 120 min - 1,按摩,,,
ABBA 氧生艙 - 頂級氧氣艙放鬆舒眠 60 min - 1,美顏/造型,,,
About hair 雅柏造型店 - 精油洗髮 + 造型剪髮 - 1,美顏/造型,,,
Addiction hairstyle - 洗 + 剪 + Fiole 護髮 - 1,美顏/造型,,,
Addiction hairstyle - 洗 + 剪 + 燙 ( 溫塑捲 / 直髮燙 ) - 1,美顏/造型,,,
Air-Gene 彈翻健身育樂中心 - 跳跳床初體驗 1.5 h ( 1-4人) - 2,運動休閒,,,
Air-Gene 彈翻健身育樂中心 - 跳跳床初體驗 1.5 h ( 1-4人) - 3,運動休閒,,,
Air-Gene 彈翻健身育樂中心 - 跳跳床初體驗 1.5 h ( 1-4人) - 4,運動休閒,,,
Air-Gene 彈翻健身育樂中心 - 跳跳床初體驗 1.5 h ( 1-4人) - 5,運動休閒,,,
Air-Gene 彈翻健身育樂中心 台南店 - 跳跳床初體驗 1.5h - 2,運動休閒,,,
Al revés顛倒餐廳 - 台北【Al revés顛倒餐廳】EZTABLE 2019 線上美食旅展，預付$285/人，可抵現場消費$350！ - 3,餐飲,,,
al sorriso 微笑餐廳 - 台北【al sorriso】EZTABLE 2019 線上美食旅展，預付 $380/人，可抵現場消費 $400/人，並享結帳9折優惠！ - 3,餐飲,,,
Alpha Nails & Spa 美甲美學設計宅 - 手單色凝膠 + 基礎保養｜可換購足部  - 1,美顏/造型,,,
am Daily - 台北【am Daily】EZTABLE 獨家方案，訂位並預付餐費 400 元/人，用餐即可現折 450 元消費！ - 2,餐飲,,,
am Daily - 現場 700 元折抵｜義國享受 - 2,餐飲,,,
AN58 承德店 - 精緻雙人套餐 - 1,餐飲,,,
AN58 歐陸小酒館 - 現場 300 元折抵｜贈飲品 / 脆薯 - 1,餐飲,,,
AN58西班牙創意料理（承德店） - 【AN58西班牙創意料理 (承德店)】EZTABLE 雙12優惠，預付 $550/2人，可享鹽烤翼板牛排6oz買一送一(原價$1100) - 1,餐飲,,,
Annie's House - 現場 300 元折抵 - 2,餐飲,,,
Aqua水相餐廳 - 台中【Aqua 水相餐廳】EZTABLE 獨家方案，訂位並預付餐費 300 元/人，用餐即可享有用餐全面消費結帳享9折優惠 (酒品除外)！ - 2,餐飲,,,
Aqua水相餐廳 - 台中【Aqua 水相餐廳】EZTABLE 獨家方案，訂位並預付餐費 300 元/人，用餐即可享有用餐全面消費結帳享9折優惠 (酒品除外)！ - 5,餐飲,,,
Aqua水相餐廳 - 台中【Aqua 水相餐廳】EZTABLE 獨家方案，訂位並預付餐費 300 元/人，用餐即可享有用餐全面消費結帳享9折優惠 (酒品除外)！ - 6,餐飲,,,
Aqua水相餐廳 - 台中【Aqua 水相餐廳】EZTABLE 獨家方案，訂位並預付餐費 300 元/人，用餐即可享有用餐全面消費結帳享9折優惠 (酒品除外)，六人以上加贈開胃小點兩份，八人以上贈三份，十二人以上贈四份(價值$141/份，贈送品項依現場當日供應為準)  - 2,餐飲,,,
Art aNew - 風味熱拿鐵 1 杯 - 1,餐飲,,,
Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會 - 台北【Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會】EZTABLE 獨家方案，預付 $500/人， 用餐可抵 $550 消費(可抵酒水費及服務費) - 1,餐飲,,,
Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會 - 台北【Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會】EZTABLE 獨家方案，預付 $500/人， 用餐可抵 $550 消費(可抵酒水費及服務費) - 2,餐飲,,,
Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會 - 台北【Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會】EZTABLE 獨家方案，預付 $500/人， 用餐可抵 $550 消費(可抵酒水費及服務費) - 3,餐飲,,,
Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會 - 台北【Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會】EZTABLE 獨家方案，預付 $500/人， 用餐可抵 $550 消費(可抵酒水費及服務費) - 5,餐飲,,,
Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會 - 台北【Asia 49亞洲料理及酒廊 - Mega 50餐飲及宴會】EZTABLE 獨家方案，預付 $500/人， 用餐可抵 $550 消費(可抵酒水費及服務費) - 7,餐飲,,,
Baan Taipei - 現場折抵 800 元 - 3,餐飲,,,
Bagel Bagel Cafe Bar (松江南京站） - 【Bagel Bagel Cafe Bar】EZTABLE 獨家方案，預付 $450 /人，現場可抵消費 $500 - 2,餐飲,,,
BarSip 餐酒(南京復興) - 台北【BarSip 餐酒】EZTABLE 獨家方案，預付 NT$500/人,餐飲,,,
BeApe法國傳統餐酒館 - 台北【BeApe法國傳統餐酒館】EZTABLE 獨家方案，訂位並預付餐費 $600/人，店家招待 house wine 一杯或 $150 內無酒精飲料 (2擇1)，不適用於商業午餐！(預付額可抵用 $600 消費) - 2,餐飲,,,
BeApe法國傳統餐酒館 - 台北【BeApe法國傳統餐酒館】EZTABLE 獨家方案，訂位並預付餐費$600/人，招待150元內無酒精飲料乙杯。（預付額可抵用$600消費，不適用於商業午餐） - 2,餐飲,,,
BeApe法國傳統餐酒館 - 台北【BeApe法國傳統餐酒館】EZTABLE 獨家方案，訂位並預付餐費$600/人，招待150元內無酒精飲料乙杯。（預付額可抵用$600消費，不適用於商業午餐） - 5,餐飲,,,
Bea's Bistro 美式餐館 - ,餐飲,,,
Bea's Bistro 美式餐館 - 雙人超值套餐｜美式風格 - 1,餐飲,,,
bEEru啤調客精釀啤酒屋 - 台北【bEEru啤調客精釀啤酒屋】EZTABLE 獨家方案，預付 $360/人 用餐可抵 $500 消費  - 8,餐飲,,,
BELLEZZA SALON - 法國頂級 René Furter 頭皮肩頸深層 SPA - 1,按摩,,,
BELLEZZA SALON - 健康紓壓洗髮 + 資深造型師剪髮 - 1,美顏/造型,,,
Bencotto - 台北文華東方酒店 - 台北【台北文華東方酒店 BENCOTTO】EZTABLE 春季快閃優惠，午晚餐預付 $1500 /人，可折抵現場消費$2150 - 2,餐飲,,,
Bencotto - 台北文華東方酒店 - 台北【台北文華東方酒店 BENCOTTO】EZTABLE 獨家方案，午餐預付餐費 1500 元/人，用餐可抵 1700 元消費！ - 4,餐飲,,,
Bencotto - 台北文華東方酒店 - 台北【台北文華東方酒店 BENCOTTO】EZTABLE 獨家方案，晚餐預付餐費 1500 元/人，現場可抵 1800 元消費 - 1,餐飲,,,
Bencotto - 台北文華東方酒店 - 台北【台北文華東方酒店 BENCOTTO】EZTABLE 獨家方案，晚餐預付餐費 1500 元/人，現場可抵 1800 元消費 - 2,餐飲,,,
Ben's Cookies - 暹羅百麗宮 - 5%折扣優惠券 - 1,旅遊,,,
BFLO Restaurant & Cafe 水牛城餐廳 - 台北【BFLO Restaurant & Cafe 水牛城餐廳】EZTABLE 獨家方案，預付 $400/人 免費送英式甜點（價值$120) - 1,餐飲,,,
Bianco Taipei 義大利白色餐廳 - 台北【Bianco Taipei 義大利食材餐廳】EZTABLE 獨家方案，每人訂位並預付餐費 450 元，現場即可抵 500 元消費。 - 6,餐飲,,,
B-Plus攀岩館 - 學生單次入場｜可換購成人 - 1,運動休閒,,,
BSB美式餐廳 - 台北【BSB美式餐廳】EZTABLE 獨家方案，預付 $200/人，享獨家保留位！ - 3,餐飲,,,
C spa 台中博館店 - 米菁萃淨膚調理 60 min - 1,美顏/造型,,,
C Spa台中西屯店 - 能量調息 SPA 課程 90 分鐘 - 1,按摩,,,
C2 Café C'est la vie - 外帶咖啡 45 元起｜整個城市都是我的咖啡館 - 1,餐飲,,,
Café Lounge 咖啡酒吧 - 宜蘭力麗威斯汀度假酒店 - 宜蘭【Café Lounge 咖啡酒吧-宜蘭力麗威斯汀度假酒店】 EZTABLE獨家方案，預付 $774/2人，享雙人浪漫下午茶乙客（原價＄968） - 1,餐飲,,,
Cafe Shih & The Ark - 140 元咖啡飲品任選 - 1,餐飲,,,
CAFE49 美侖商旅 Parkview Taipei (全新開幕) - 台北【美侖商旅-CAFE49】EZTABLE 情人節方案，預付$1200/人(原價:$1320)，可享限量情人套餐A (美國頂級菲力牛）再贈戀人調酒/乙杯 - 2,餐飲,,,
CAFE49 美侖商旅 Parkview Taipei (全新開幕) - 台北【美侖商旅-CAFE49】EZTABLE 獨家方案，預付$999/人可享聖誕跨年限量套餐乙份（原價$1100/人）（此價格已含服務費10%） - 2,餐飲,,,
CAFE49 美侖商旅 Parkview Taipei (全新開幕) - 台北【美侖商旅-CAFE49】EZTABLE 獨家優惠，平假日午晚餐預付 $500/人，享獨家保留位！ - 10,餐飲,,,
CAFE49 美侖商旅 Parkview Taipei (全新開幕) - 台北【美侖商旅-CAFE49】EZTABLE 獨家優惠，平假日午晚餐預付 $500/人，享獨家保留位！ - 2,餐飲,,,
Capstone Steakhouse 教父牛排高雄店 - 高雄【Capstone Steakhouse】EZTABLE 獨家方案，訂位並預付餐費 500 元/人，贈「開胃飲品」一杯！(預付額可抵用 500 元/人 消費) - 2,餐飲,,,
Capstone Steakhouse 教父牛排高雄店 - 高雄【Capstone Steakhouse】EZTABLE 獨家方案，訂位並預付餐費 500 元/人，贈「開胃飲品」一杯！(預付額可抵用 500 元/人 消費) - 4,餐飲,,,
Casa de Amigos - 雙人套餐｜微笑西班牙 - 1,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 春節保留位，1/24 午餐 $1078/人 (含服務費) - 2,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 超低優惠價只到12/31，六日下午茶吃到飽優惠價 539 元/人 (原價 638 元) - 1,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 超低優惠價只到12/31，六日下午茶吃到飽優惠價 539 元/人 (原價 638 元) - 3,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 超低優惠價只到12/31，平日、週日晚餐吃到飽優惠價 748 元/人 (原價 1	012 元) - 2,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 超低優惠價只到12/31，平日下午茶吃到飽優惠價 462 元/人 (原價 638 元) - 2,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 超低優惠價只到12/31，平日下午茶吃到飽優惠價 462 元/人 (原價 638 元) - 3,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 超低優惠價只到12/31，平日午餐吃到飽優惠價 638 元/人 (原價 858 元) - 1<br>台北【CHECKERS-台北凱撒大飯店】EZTABLE 雙12優惠，平日午餐兩人只要 $1212/2人(原價$1716) - 1,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 獨家方案，平日午餐吃到飽優惠價 $695 /人 (原價 858 元) - 2,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 獨家方案，平日午餐吃到飽優惠價 $695 /人 (原價 858 元) - 3,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 獨家方案，平日晚餐吃到飽優惠價 $825/人 (原價 1	012 元) - 2,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 獨家方案，平假日下午茶吃到飽優惠價 $515/人 (原價 638 元) - 1,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 獨家方案，平假日下午茶吃到飽優惠價 $515/人 (原價 638 元) - 2,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 獨家方案，平假日下午茶吃到飽優惠價 $515/人 (原價 638 元) - 3,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 獨家方案，假日午晚餐吃到飽優惠價 $868/人 (原價 1	078 元) - 1,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 獨家方案，假日午晚餐吃到飽優惠價 $868/人 (原價 1	078 元) - 4,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 雙12優惠，平日下午茶優惠加碼再折 $12，全台最低價只要 $450/人 (原價$638)  - 1,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 雙12優惠，平日下午茶優惠加碼再折 $12，全台最低價只要 $450/人 (原價$638)  - 2,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 雙12優惠，平日下午茶優惠加碼再折 $12，全台最低價只要 $450/人 (原價$638)  - 3,餐飲,,,
CHECKERS-台北凱撒大飯店 - 台北【CHECKERS-台北凱撒大飯店】EZTABLE 雙12優惠，平日午餐兩人只要 $1212/2人(原價$1716) - 1,餐飲,,,
Chili's 奇利斯美式餐廳 - 台北信義店（NEO19） - 【Chili's Grill & Bar 美式休閒餐廳】EZTABLE 獨家方案，預付 500/人，現場可抵用 550 元！ - 2,餐飲,,,
Chinese Whispers悄悄話餐酒館 - 台北【Chinese Whispers悄悄話餐酒館】EZTABLE 獨家方案，預付$500/人，可抵現場消費$700 - 2,餐飲,,,
Chocofresa Hair & Makeup Studio - 洗 + 剪 + 吹整 - 1,美顏/造型,,,
CL Salon 北車髮型形象店 - CL 哥德式洗 + 護基礎保養 - 1,美顏/造型,,,
Classic Milk 內湖227 - CM堡 + 沙沙奶｜可換購其他飲品 - 1,餐飲,,,
Classic Milk 松江36 - CM堡 + 沙沙奶｜可換購其他飲品 - 1,餐飲,,,
coco Brownies - 原味可可布朗尼 - 1<br>抹茶布朗尼 - 1<br>Oreo布朗尼 - 1<br>巧克力脆片布朗尼 - 1<br>花生醬瑪芬 - 1<br>抹茶巧克力豆瑪芬 - 1<br>酸檸檬瑪芬 - 1<br>香橙瑪芬 - 1,餐飲,,,
Commons - 350 元飲品任選 2 杯 - 1,餐飲,,,
CRE.a Hair Salon 信義店 - 植村秀洗雅指 + 造型剪髮 - 1,美顏/造型,,,
DA ANTONIO 大安東尼 By 隨意鳥地方 - Cozzi 民生店 - 台北【大安東尼義大利菜-隨意鳥地方(Cozzi民生店)】EZTABLE 獨家方案，任選單杯飲品 (可含酒精) + 餐點三選一 組合價 $388+10%/人 - 2,餐飲,,,
DA ANTONIO 大安東尼 By 隨意鳥地方 - Cozzi 民生店 - 台北【大安東尼義大利菜-隨意鳥地方(Cozzi民生店)】EZTABLE 獨家方案，預付 $500/人，現折 $550 元！ - 1,餐飲,,,
DA ANTONIO 大安東尼 By 隨意鳥地方 - Cozzi 民生店 - 台北【大安東尼義大利菜-隨意鳥地方(Cozzi民生店)】EZTABLE 獨家方案，預付 $500/人，現折 $550 元！ - 3<br>台北【大安東尼義大利菜-隨意鳥地方(Cozzi民生店)】EZTABLE 獨家方案，任選單杯飲品 (可含酒精) + 餐點三選一 組合價 $388+10%/人 - 1,餐飲,,,
DA ANTONIO 大安東尼 By 隨意鳥地方 - Cozzi 民生店 - 台北【大安東尼義大利菜-隨意鳥地方(Cozzi民生店)】EZTABLE 獨家方案，預付 $500/人，現折 $550 元！ - 5,餐飲,,,
DA ANTONIO 大安東尼 By 隨意鳥地方 - 台北101 5樓  - 台北【DA ANTONIO By 隨意鳥地方 】EZTABLE 獨家方案，訂位並預付餐費 500 元/人，用餐即可現折 550 元消費！ - 2,餐飲,,,
DA ANTONIO 大安東尼 By 隨意鳥地方 - 台北101 5樓  - 台北【DA ANTONIO By 隨意鳥地方 】EZTABLE 獨家方案，訂位並預付餐費 500 元/人，用餐即可現折 550 元消費！ - 4,餐飲,,,
DA ANTONIO 大安東尼 By 隨意鳥地方 - 台北101 5樓  - 台北【DA ANTONIO By 隨意鳥地方 】EZTABLE 獨家方案，訂位預付$588/人，用餐可現折 $800消費！ - 1,餐飲,,,
DA ANTONIO 大安東尼 By 隨意鳥地方 - 台北101 5樓  - 台北【DA ANTONIO 大安東尼 By 隨意鳥地方 - 台北101 5樓】EZTABLE 獨家套餐 75 折，西班牙 Josper 烤箱炭烤菲力牛排套餐優惠價 $999+10%/人  - 2,餐飲,,,
Daijobu 旅遊網卡專家 - 郵寄 | 日本 5 天 | 吃到飽 - 1,旅遊,,,
Daijobu 旅遊網卡專家 - 郵寄 | 星泰5天 | 2.5GB - 5,旅遊,,,
Daijobu 旅遊網卡專家 - 郵寄｜港澳 3-7 天｜每日2GB - 1,旅遊,,,
Daimie Beauty Salon - 手 / 足部指定造型款 - 1,美顏/造型,,,
Danny & Company - 台北【Danny & Company （四維店）】EZTABLE 獨家方案，預付 500 元/人現場可抵500元，並加贈「精選葡萄酒」一杯（欲享用鐵板燒套餐請備註說明） - 1,餐飲,,,
Dazzling Cafe Badass Babes Club - 台北【Dazzling Cafe Badass Babes Club】EZTABLE 獨家方案，訂位並預付餐費 200 元/人，用餐即可現折 220 元消費！ - 3,餐飲,,,
Diamond Tony's 101 隨意鳥地方高空觀景餐廳 - 台北101 85樓 - 台北【Diamond Tony's 101 隨意鳥地方 85 樓】EZTABLE 午餐時段，預付餐費 $500/人 (可抵現場消費) ，即贈送主廚當日特製小點一份 (價值 $428) - 2,餐飲,,,
Diamond Tony's 101 隨意鳥地方高空觀景餐廳 - 台北101 85樓 - 台北【Diamond Tony's 101 隨意鳥地方 85 樓】EZTABLE 特殊節日，預付餐費 $2000元/桌，享優先入席，另招待異國水果冰茶每人乙杯 (預付餐費可抵現場消費)  - 1,餐飲,,,
Diamond Tony's 101 隨意鳥地方高空觀景餐廳 - 台北101 85樓 - 台北【Diamond Tony's 101 隨意鳥地方 85 樓】EZTABLE 情人節方案，預付每桌2000元，招待開胃小點每人1份(價值528/份)，加碼贈送每人1杯迎賓餐前酒(價值308/杯)！ - 1,餐飲,,,
Diamond Tony's 101 隨意鳥地方高空觀景餐廳 - 台北101 85樓 - 台北【Diamond Tony's 101 隨意鳥地方 85 樓】EZTABLE 晚餐時段，預付餐費 $2000元/桌 (預付餐費可抵現場消費) 可享甜點升級 101 高空塔，加碼送每人水果茶或啤酒一杯！ - 1,餐飲,,,
Diamond Tony's 101 隨意鳥地方高空觀景餐廳 - 台北101 85樓 - 台北【Diamond Tony's 101 隨意鳥地方 85 樓】EZTABLE 獨家方案，預付$500/人，贈送每人異國水果冰茶每人乙杯！當桌甜點可享甜點升級 101 高空塔，預付額可折抵現場 $500消費！  - 2,餐飲,,,
DOZO 創作和食居酒屋 - 【DOZO IZAKAYA DINING BAR】EZTABLE 獨家方案，預付 $1598/2人 可抵現場消費 $2000！ - 1,餐飲,,,
DOZO 創作和食居酒屋 - 【DOZO IZAKAYA DINING BAR】EZTABLE 獨家方案，預付 799 元/人 可抵 1000 元 - 4,餐飲,,,
DOZO 創作和食居酒屋 - 【DOZO IZAKAYA DINING BAR】EZTABLE 獨家方案，預付 799 元/人 可抵 1000 元 - 5,餐飲,,,
Drift Lounge Bar 14樓高空觀景 - 台北國泰萬怡酒店 - 台北【Drift Lounge Bar 14樓高空觀景 - 台北國泰萬怡酒店】EZTABLE 獨家方案，預付 $1919/人，可享跨年限定餐點吃到飽及酒水暢飲DJ Show （原價$2222） - 3,餐飲,,,
EPIC茶茶 - 貴妃紅茶 - 1<br>貴妃紅茶歐蕾 - 1<br>奶蓋炭焙鐵觀音 - 2<br>奶蓋錫蘭紅茶 - 1<br>奶蓋錫蘭紅茶 - 1<br>百香綠茶 - 1<br>黑糖珍珠鮮奶 - 1<br>黑糖珍珠鮮奶 - 1<br>黑糖珍珠鮮奶 - 2<br>黑糖泰式奶茶 - 1<br>黑糖冬瓜檸檬 - 1,餐飲,,,
Escapeholics - 陷阱舞台 - 密室新境界！ 2人 - 1,運動休閒,,,
Eunice SPA 天母忠誠直營館 - 地中海 | 浮力律動減壓 SPA 150 min - 1,按摩,,,
Eunice SPA 永和中正直營館 - 地中海 | 浮力律動減壓 SPA 150 min - 1,按摩,,,
F/A Taipei - 自然芭比 200 / 250 根｜享下午茶 - 1,美顏/造型,,,
F/A Taipei - 標準蠶絲 150 根｜享下午茶 - 1,美顏/造型,,,
Familia Hair Salon - 造型剪髮｜贈免費 AI 頭皮檢測 - 1,美顏/造型,,,
FantasyArt - 小資手部凝膠｜單色 / 平法式 / 璀璨 3 選 1 - 1,美顏/造型,,,
FantasyArt - 足部深層頂級去繭 SPA - 1,美顏/造型,,,
FantasyArt - 足部經典凝膠｜單色 / 平法式 / 璀璨 3 選 1 - 1,美顏/造型,,,
FIFI茶酒沙龍-常玉廳 - 台北【FIFI 茶酒沙龍-常玉廳】EZTABLE 獨家方案，平假日午 / 晚餐：訂位並預付 500 元/人，現場可抵 550 元消費！ - 4,餐飲,,,
FORE restaurant - 台中【FORE restaurant】EZTABLE 獨家方案，訂位並預付餐費 800 元/人，贈「FORE藏翅」乙份！(價值$80)，預付額可抵用消費 - 2,餐飲,,,
FORE restaurant - 台中【FORE restaurant】EZTABLE 獨家方案，訂位並預付餐費 800 元/人，贈「FORE藏翅」乙份！(價值$80)，預付額可抵用消費 - 3,餐飲,,,
Free From Hair Studio - 萊雅結構式護髮 - 1,美顏/造型,,,
Freesia spa 微夏 - 首購優惠｜美舒 SPA 90 min - 1,美顏/造型,,,
Fresh & Aged Italian Steak House 美福乾式熟成牛排館 - 台北【Fresh & Aged Italian Steak House】EZTABLE獨家方案，預付$4950 /兩人，享『28天乾式熟成紐約客16oz』雙人套餐乙客！ - 1,餐飲,,,
FunNow x Tphone〡極速網卡 - 韓國 5-8 天〡4G 店取 - 1,旅遊,,,
GAUCHO高卓人阿根廷炭烤餐廳 - 花博店 - 台北【GAUCHO高卓人阿根廷炭烤餐廳 - 花博店】EZTABLE 獨家方案，預付$400/人，贈送知名啤酒乙罐(價值$180) - 1,餐飲,,,
Getcha Bistro - 現場 300 元折抵 - 5,餐飲,,,
Getcha Bistro - 現場 300 元折抵 - 6,餐飲,,,
Getcha Bistro - 聖誕精選｜現場 300 元折抵 - 2,餐飲,,,
GiliGili 韓國釜山餐酒館 - 濟州甜點炸雞｜雙人套餐 - 1,餐飲,,,
gogoout 艾維士租車 ( 近高鐵左營站 ) - 五人座小客車 - 1,旅遊,,,
